age,procrastination,satisfaction,stress,family,recovery,EAF
15.00,5.00,9.00,1.00,1.00,3.00,-2.00
16.00,10.00,3.00,5.00,1.00,5.00,4.40
16.00,6.00,8.00,9.00,6.00,5.00,7.40
16.00,7.00,8.00,9.00,4.00,9.00,8.11
16.00,9.00,9.00,9.00,10.00,7.00,7.71
17.00,10.00,1.00,10.00,2.00,7.00,9.86
17.00,10.00,5.00,10.00,5.00,5.00,9.00
17.00,10.00,7.00,10.00,8.00,9.00,9.22
17.00,5.00,10.00,10.00,6.00,4.00,7.50
17.00,5.00,7.00,6.00,3.00,3.00,3.67
17.00,5.00,7.00,9.00,1.00,9.00,8.22
17.00,6.00,4.00,8.00,7.00,3.00,6.67
17.00,7.00,10.00,3.00,5.00,1.00,-7.00
17.00,8.00,3.00,2.00,2.00,5.00,1.40
17.00,8.00,3.00,4.00,3.00,7.00,3.57
17.00,8.00,4.00,9.00,4.00,8.00,8.50
17.00,8.00,7.00,5.00,7.00,3.00,2.67
17.00,8.00,7.00,7.00,9.00,7.00,6.00
17.00,9.00,7.00,10.00,7.00,7.00,9.00
18.00,10.00,1.00,3.00,1.00,1.00,2.00
18.00,10.00,3.00,5.00,2.00,2.00,3.50
18.00,3.00,5.00,1.00,4.00,2.00,-1.50
18.00,4.00,7.00,6.00,5.00,7.00,5.00
18.00,5.00,2.00,7.00,3.00,5.00,6.60
18.00,5.00,7.00,10.00,9.00,7.00,9.00
18.00,5.00,7.00,7.00,6.00,6.00,5.83
18.00,6.00,7.00,7.00,4.00,3.00,4.67
18.00,7.00,4.00,6.00,3.00,2.00,4.00
18.00,7.00,5.00,9.00,5.00,5.00,8.00
18.00,8.00,8.00,3.00,8.00,3.00,0.33
19.00,5.00,5.00,7.00,1.00,1.00,2.00
19.00,7.00,3.00,2.00,4.00,7.00,1.57
19.00,7.00,4.00,9.00,10.00,10.00,8.60
19.00,8.00,8.00,10.00,2.00,8.00,9.00
20.00,7.00,7.00,5.00,4.00,3.00,2.67
20.00,8.00,3.00,7.00,9.00,2.00,5.50
22.00,10.00,10.00,10.00,10.00,10.00,9.00
22.00,8.00,3.00,10.00,1.00,5.00,9.40
# 30.00,4.00,2.00,8.00,5.00,7.00,7.71
# 37.00,3.00,6.00,8.00,1.00,8.00,7.25
# 47.00,5.00,8.00,7.00,5.00,1.00,-1.00
# 48.00,10.00,7.00,5.00,7.00,3.00,2.67
# 49.00,10.00,10.00,10.00,10.00,1.00,0.00
